A |- A:A |- A, 2, 2 , 1, 2, 0.017 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00999999999995 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.0110000000001 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00900000000004 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.012 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00899999999993 , 0, 2, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.0079999999999 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.0109999999999 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000012 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00900000000004 , 0, 2, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.0100000000001 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.012 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00899999999993 , 0, 2, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.0119999999999 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.0110000000001 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.0079999999999 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00899999999993 , 0, 2, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.0109999999999 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00900000000004 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.013 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00900000000004 , 0, 2, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.0079999999999 , 0, 2, 0. 
A |- A:A |- A, 2, 2 , 1, 2, 0.011 , 1, 1, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
A |- B:A |- B, 2, 2 , 0, 2, 0.00800000000001 , 0, 2, 0. 
